times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
24.8|0.0|0.0|0.0|-134203.66504738425|-134201.92452882344
25.0|0.0|0.0|0.0|-134342.49032128896|-134333.33368016468
25.2|0.0|0.0|0.0|-134399.08534650234|-134397.47095247495
25.4|0.0|0.0|0.0|-134699.23390745846|-134698.0609492979
25.6|0.0|0.0|0.0|-134732.2746804131|-134729.61345275855
25.8|0.0|0.0|0.0|-134701.65102137445|-134701.10868588087
26.0|0.0|0.0|0.0|-134629.29520393442|-134626.15470305298
26.2|0.0|0.0|0.0|-134882.06498006947|-134874.88849411946
26.4|0.0|0.0|0.0|-134263.72049771273|-134259.64667528417
26.6|0.0|0.0|0.0|-134464.42701108812|-134463.69548879442
26.8|0.0|0.0|0.0|-134424.04193549594|-134423.43653773566
27.0|0.0|0.0|0.0|-134817.52219059324|-134815.6050976857
27.2|0.0|0.0|0.0|-134680.52717161825|-134674.6876057222
27.4|0.0|0.0|0.0|-134555.56513933197|-134551.07510594322
27.6|0.0|0.0|0.0|-134690.8339842568|-134689.1943653227
27.8|0.0|0.0|0.0|-134353.87888190706|-134353.39960868016
28.0|0.0|0.0|0.0|-134447.64751780708|-134443.33405876506
28.2|0.0|0.0|0.0|-134575.2053635088|-134570.9297418268
28.4|0.0|0.0|0.0|-134568.14063974746|-134561.2668526776
28.6|0.0|0.0|0.0|-134406.78622792222|-134405.76461920177
28.8|0.0|0.0|0.0|-134348.40318141502|-134346.1455522673
29.0|0.0|0.0|0.0|-134075.78684620818|-134071.39771244617
29.2|0.0|0.0|0.0|-134160.8700999843|-134159.444892757
29.4|0.0|0.0|0.0|-134465.37256095294|-134463.9095163656
29.6|0.0|0.0|0.0|-134270.14500926633|-134269.40087451928
29.8|0.0|0.0|0.0|-134564.96965016224|-134564.23812786854
30.0|0.0|0.0|0.0|-134515.0747847523|-134509.8280041632
30.2|0.0|0.0|0.0|-134534.13051209986|-134530.96478631173
30.4|0.0|0.0|0.0|-134386.64329021474|-134385.83609320104
30.6|0.0|0.0|0.0|-134381.20084020882|-134379.43509674136
30.8|0.0|0.0|0.0|-134450.91997550303|-134450.3524151028
31.0|0.0|0.0|0.0|-134338.71098320017|-134337.24793861283
31.2|0.0|0.0|0.0|-134563.4270643449|-134562.56941751784
31.4|0.0|0.0|0.0|-134551.61536287548|-134549.29467146104
31.6|0.0|0.0|0.0|-134967.6796125205|-134967.36430118702
31.8|0.0|0.0|0.0|-134582.99978567453|-134581.120530127
32.0|0.0|0.0|0.0|-134749.5982210646|-134747.10095530344
32.2|0.0|0.0|0.0|-134972.00361257265|-134971.4360521724
32.4|0.0|0.0|0.0|-134542.00818362|-134539.78839183226
32.6|0.0|0.0|0.0|-134675.98973141657|-134674.95551024275
32.8|0.0|0.0|0.0|-134314.28295422922|-134305.80738558524
33.0|0.0|0.0|0.0|-134558.42129848173|-134553.26280506598
33.2|0.0|0.0|0.0|-134425.52416753522|-134423.35482556085
33.4|0.0|0.0|0.0|-134711.03640234462|-134710.31749250428
33.6|0.0|0.0|0.0|-134813.1482684633|-134812.44197107627
33.8|0.0|0.0|0.0|-134945.16575931493|-134942.2775075003
34.0|0.0|0.0|0.0|-134784.8307387932|-134780.0127816176
34.2|0.0|0.0|0.0|-134861.91805360248|-134859.24421349456
34.4|0.0|0.0|0.0|-134891.02338064258|-134889.9639345621
34.6|0.0|0.0|0.0|-134841.64759412338|-134840.31067406942
34.8|0.0|0.0|0.0|-134775.08018897162|-134770.6406053962
35.0|0.0|0.0|0.0|-134806.69112033377|-134804.3830413727
35.2|0.0|0.0|0.0|-134788.57963733864|-134787.06614293795
35.4|0.0|0.0|0.0|-134855.4256400365|-134853.31936032884
35.6|0.0|0.0|0.0|-134629.053479445|-134626.39225179044
35.8|0.0|0.0|0.0|-134484.9309751378|-134484.09855321745
36.0|0.0|0.0|0.0|-134533.83935162018|-134530.7997503654
36.2|0.0|0.0|0.0|-134284.72107288407|-134280.18058968196
36.4|0.0|0.0|0.0|-134278.38194665976|-134276.66665300564
36.6|0.0|0.0|0.0|-134383.21411985887|-134382.11683641837
36.8|0.0|0.0|0.0|-134588.6962096613|-134587.61153867413
37.0|0.0|0.0|0.0|-134809.96909104445|-134808.12767285694
37.2|0.0|0.0|0.0|-134902.84959516264|-134891.8263109442
37.4|0.0|0.0|0.0|-134700.3040166676|-134698.4121486667
37.6|0.0|0.0|0.0|-134675.90441173344|-134671.70446477146
37.8|0.0|0.0|0.0|-134642.4040545018|-134638.19149508647
38.0|0.0|0.0|0.0|-134448.21450754334|-134447.6217222364
38.2|0.0|0.0|0.0|-134509.38619898068|-134505.6907501523
38.4|0.0|0.0|0.0|-134378.43455858962|-134375.35711997483
38.6|0.0|0.0|0.0|-134435.80398019738|-134435.04723299702
38.8|0.0|0.0|0.0|-134528.23547008476|-134527.06251192422
39.0|0.0|0.0|0.0|-134542.04669233403|-134541.76921836057
39.2|0.0|0.0|0.0|-134279.56177970357|-134279.2590808234
39.4|0.0|0.0|0.0|-134317.19803638954|-134314.34762193487
39.6|0.0|0.0|0.0|-134199.61213390806|-134197.34189230698
39.8|0.0|0.0|0.0|-134050.70347096428|-134046.1503753088
40.0|0.0|0.0|0.0|-134150.6445512242|-134150.35446479736
40.2|0.0|0.0|0.0|-134275.39610610352|-134273.45378828928
40.4|0.0|0.0|0.0|-134099.2074885835|-134096.3444616755
40.6|0.0|0.0|0.0|-134173.7975376316|-134172.7002541911
40.8|0.0|0.0|0.0|-134186.54663768804|-134184.70521950047
41.0|0.0|0.0|0.0|-134392.13209535167|-134391.95552100494
41.2|0.0|0.0|0.0|-133933.37492183186|-133932.05061423124
41.4|0.0|0.0|0.0|-133899.43480989605|-133898.36275136218
41.6|0.0|0.0|0.0|-133727.63937035948|-133727.19793449258
41.8|0.0|0.0|0.0|-133689.61334431334|-133688.57912313953
42.0|0.0|0.0|0.0|-133978.3754635146|-133976.83674420722
42.2|0.0|0.0|0.0|-133582.88446526998|-133581.1187218025
42.4|0.0|0.0|0.0|-134041.7318200016|-134041.0255226146
42.6|0.0|0.0|0.0|-133837.28395137296|-133830.59935110318
42.8|0.0|0.0|0.0|-133745.49020218654|-133741.78214090483
43.0|0.0|0.0|0.0|-134014.47374659704|-134010.4125366218
43.2|0.0|0.0|0.0|-134013.2848200169|-134012.71725961665
43.4|0.0|0.0|0.0|-133908.73650391446|-133907.91669444743
43.6|0.0|0.0|0.0|-134168.64888395017|-134166.94620274936
43.8|0.0|0.0|0.0|-134144.68522260565|-134143.60055161847
44.0|0.0|0.0|0.0|-134208.56494444582|-134207.51811081867
44.2|0.0|0.0|0.0|-133846.61341194797|-133845.83143984093
44.4|0.0|0.0|0.0|-133703.41545941387|-133702.64609976017
44.6|0.0|0.0|0.0|-133782.6847286508|-133781.01988481003
44.8|0.0|0.0|0.0|-134116.58950952993|-134114.0039565954
45.0|0.0|0.0|0.0|-133886.17378919086|-133885.69451596396
45.2|0.0|0.0|0.0|-133941.20840862463|-133939.88410102404
45.4|0.0|0.0|0.0|-134068.66986207073|-134061.58166329408
45.6|0.0|0.0|0.0|-133831.6571287023|-133828.84455160762
45.8|0.0|0.0|0.0|-133818.4917869947|-133811.50448784482
46.0|0.0|0.0|0.0|-133799.01815903897|-133795.4236098373
46.2|0.0|0.0|0.0|-133955.8757872061|-133953.85779467184
46.4|0.0|0.0|0.0|-133936.01992723017|-133934.10283432264
46.6|0.0|0.0|0.0|-134112.0645509389|-134108.69702589733
46.8|0.0|0.0|0.0|-134155.28701166072|-134154.49242710037
47.0|0.0|0.0|0.0|-134478.22887941127|-134477.1442084241
47.2|0.0|0.0|0.0|-134126.34143124725|-134121.70004841842
47.4|0.0|0.0|0.0|-133943.37584850643|-133941.9506412791
47.6|0.0|0.0|0.0|-134122.64926026997|-134120.80784208246
47.8|0.0|0.0|0.0|-134147.39489372153|-134145.9444615875
48.0|0.0|0.0|0.0|-134052.77932632522|-134049.08387749686
48.2|0.0|0.0|0.0|-134054.07278583926|-134048.05664559643
48.4|0.0|0.0|0.0|-133898.6116859801|-133896.03874549892
48.6|0.0|0.0|0.0|-134095.4282568|-134094.8480839464
48.8|0.0|0.0|0.0|-134304.18206335083|-134302.31542025664
49.0|0.0|0.0|0.0|-134451.19739882194|-134448.4226590873
49.2|0.0|0.0|0.0|-134169.92742539325|-134169.29680272628
49.4|0.0|0.0|0.0|-134254.38091158742|-134252.91786700007
49.6|0.0|0.0|0.0|-134197.4482972142|-134195.3798548666
49.8|0.0|0.0|0.0|-134170.1242931273|-134169.02700968678
50.0|0.0|0.0|0.0|-134163.5952645539|-134161.90519580647
50.2|0.0|0.0|0.0|-134375.01447320802|-134374.03070184757
