times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
13.6|0.0|0.0|0.0|-133935.34781372186|-133934.6541287882
13.8|0.0|0.0|0.0|-133890.40958077274|-133889.76634565246
14.0|0.0|0.0|0.0|-133908.5921198898|-133905.96872959522
14.2|0.0|0.0|0.0|-133959.3219103224|-133956.63545776115
14.4|0.0|0.0|0.0|-133977.22633473642|-133976.41913772273
14.6|0.0|0.0|0.0|-133989.145103142|-133988.4135808483
14.8|0.0|0.0|0.0|-134049.14345580846|-134048.95426900836
15.0|0.0|0.0|0.0|-134106.06118975012|-134103.13510057543
15.2|0.0|0.0|0.0|-134425.7490786715|-134422.29326645657
15.4|0.0|0.0|0.0|-134105.0206686561|-134103.80987313553
15.6|0.0|0.0|0.0|-134332.19498993797|-134330.95896951074
15.8|0.0|0.0|0.0|-134004.55299489072|-134002.24491592965
16.0|0.0|0.0|0.0|-133605.9868569183|-133604.27156326416
16.2|0.0|0.0|0.0|-133665.60427072|-133665.08716013312
16.4|0.0|0.0|0.0|-133934.5525595161|-133934.17418591594
16.6|0.0|0.0|0.0|-133794.76253607872|-133793.28687903803
16.8|0.0|0.0|0.0|-133998.9406119917|-133998.839712365
17.0|0.0|0.0|0.0|-133973.24268124628|-133972.00666081902
17.2|0.0|0.0|0.0|-134419.4965052943|-134419.06768188076
17.4|0.0|0.0|0.0|-134375.70706317824|-134375.50526392483
17.6|0.0|0.0|0.0|-134340.64394016334|-134338.78990952246
17.8|0.0|0.0|0.0|-134513.30842637713|-134509.80216434886
18.0|0.0|0.0|0.0|-134322.12885866137|-134321.67481034115
18.2|0.0|0.0|0.0|-134653.71842630755|-134651.28422281306
18.4|0.0|0.0|0.0|-134467.9634867206|-134466.65179157333
18.6|0.0|0.0|0.0|-134407.25974879897|-134405.93544119835
18.8|0.0|0.0|0.0|-134599.98083772237|-134599.50156449547
19.0|0.0|0.0|0.0|-134429.49815954987|-134429.14501085636
19.2|0.0|0.0|0.0|-134497.88852544423|-134497.33357749734
19.4|0.0|0.0|0.0|-134851.0853077429|-134850.29072318252
19.6|0.0|0.0|0.0|-134741.2128868729|-134740.73361364604
19.8|0.0|0.0|0.0|-134413.12647353683|-134410.52830814896
20.0|0.0|0.0|0.0|-134392.1723895328|-134390.7850196655
20.2|0.0|0.0|0.0|-134470.36330300223|-134469.84619241534
20.4|0.0|0.0|0.0|-134325.08045298787|-134323.6804706672
20.6|0.0|0.0|0.0|-134190.4217161888|-134186.99112888056
20.8|0.0|0.0|0.0|-134338.80722972463|-134338.45408103114
21.0|0.0|0.0|0.0|-134254.59552873488|-134251.75772673357
21.2|0.0|0.0|0.0|-134299.8616237693|-134299.10487656898
21.4|0.0|0.0|0.0|-134265.8216705525|-134263.3748546047
21.6|0.0|0.0|0.0|-134467.90403431098|-134466.21396556354
21.8|0.0|0.0|0.0|-134436.14587680285|-134434.29184616197
22.0|0.0|0.0|0.0|-134288.64061223457|-134288.18656391435
22.2|0.0|0.0|0.0|-134388.63984050657|-134387.9083182129
22.4|0.0|0.0|0.0|-134220.69241184162|-134219.92305218795
22.6|0.0|0.0|0.0|-134043.79579378065|-134043.3291330071
22.8|0.0|0.0|0.0|-134487.99378793436|-134486.8586671338
23.0|0.0|0.0|0.0|-134270.97496385756|-134268.7677845232
23.2|0.0|0.0|0.0|-134346.01220351717|-134344.53654647648
23.4|0.0|0.0|0.0|-134121.26127307583|-134120.05047755525
23.6|0.0|0.0|0.0|-134007.0018629273|-134004.80729604632
23.8|0.0|0.0|0.0|-133957.228864907|-133956.47211770667
24.0|0.0|0.0|0.0|-134543.7970953002|-134543.5700711401
24.2|0.0|0.0|0.0|-134522.60500539362|-134522.18879443343
24.4|0.0|0.0|0.0|-134445.041106599|-134441.78709363748
24.6|0.0|0.0|0.0|-134049.04870323974|-134048.46853038613
24.8|0.0|0.0|0.0|-134243.83543261053|-134242.97778578347
25.0|0.0|0.0|0.0|-134008.2599393082|-134006.75905736082
25.2|0.0|0.0|0.0|-134357.0825613108|-134355.53122955008
25.4|0.0|0.0|0.0|-134393.1317252106|-134390.8993209696
25.6|0.0|0.0|0.0|-134520.6940782834|-134519.65985710963
25.8|0.0|0.0|0.0|-134667.35419903923|-134666.786638639
26.0|0.0|0.0|0.0|-134637.43497975747|-134637.28363031743
26.2|0.0|0.0|0.0|-134727.3180352796|-134725.90544050562
26.4|0.0|0.0|0.0|-134685.04123304648|-134683.2124273123
26.6|0.0|0.0|0.0|-134416.29240878622|-134414.82936419884
26.8|0.0|0.0|0.0|-134171.2828902187|-134170.8036169918
27.0|0.0|0.0|0.0|-134153.26092733632|-134151.29338461542
27.2|0.0|0.0|0.0|-134332.444458501|-134332.01563508747
27.4|0.0|0.0|0.0|-134253.61953968788|-134252.23216982058
27.6|0.0|0.0|0.0|-134197.330160435|-134196.80043739473
27.8|0.0|0.0|0.0|-134463.77757866855|-134462.9829941082
28.0|0.0|0.0|0.0|-134472.48017147262|-134470.79010272518
28.2|0.0|0.0|0.0|-134637.74683897328|-134636.15766985255
28.4|0.0|0.0|0.0|-134461.39762801625|-134460.3507943891
28.6|0.0|0.0|0.0|-134391.307807162|-134389.47900142783
28.8|0.0|0.0|0.0|-134534.41615407303|-134533.68463177935
29.0|0.0|0.0|0.0|-134292.68362501232|-134290.84220682477
29.2|0.0|0.0|0.0|-134520.4140825051|-134519.9978715449
29.4|0.0|0.0|0.0|-134447.03181570317|-134445.60660847585
29.6|0.0|0.0|0.0|-134219.5031574638|-134217.98966306308
29.8|0.0|0.0|0.0|-134299.95799731463|-134296.47696019302
30.0|0.0|0.0|0.0|-134347.9059796716|-134346.77085887105
30.2|0.0|0.0|0.0|-134188.35844493055|-134187.68998490358
30.4|0.0|0.0|0.0|-134238.78303338072|-134236.13441817948
30.6|0.0|0.0|0.0|-134234.52746338776|-134233.0644188004
30.8|0.0|0.0|0.0|-134130.98534319722|-134129.87544730338
31.0|0.0|0.0|0.0|-134251.27829483122|-134249.70173816383
31.2|0.0|0.0|0.0|-134044.81243366832|-134043.65208796112
31.4|0.0|0.0|0.0|-134087.8244770703|-134084.39388976205
31.6|0.0|0.0|0.0|-134301.4668241832|-134300.12990412925
31.8|0.0|0.0|0.0|-134368.95606200132|-134366.5344709602
32.0|0.0|0.0|0.0|-134253.00185058298|-134249.394688928
32.2|0.0|0.0|0.0|-134331.72878432638|-134326.9234396041
32.4|0.0|0.0|0.0|-134179.87643049445|-134173.96118987835
32.6|0.0|0.0|0.0|-134206.7975720036|-134203.46788432205
32.8|0.0|0.0|0.0|-134324.7534459525|-134322.30663000466
33.0|0.0|0.0|0.0|-134620.7761884098|-134618.37982227534
33.2|0.0|0.0|0.0|-134485.2049274666|-134483.38873418575
33.4|0.0|0.0|0.0|-134319.10726500815|-134316.55954943364
33.6|0.0|0.0|0.0|-134092.1225746778|-134089.83972062342
33.8|0.0|0.0|0.0|-134034.40798819755|-134030.7251518225
34.0|0.0|0.0|0.0|-134119.73123503732|-134119.47898597055
34.2|0.0|0.0|0.0|-133804.0943800796|-133802.6565603989
34.4|0.0|0.0|0.0|-134043.91267090818|-134040.5829832266
34.6|0.0|0.0|0.0|-134122.05943179794|-134115.4252813415
34.8|0.0|0.0|0.0|-133740.55237246025|-133737.4749338455
35.0|0.0|0.0|0.0|-134130.92677515402|-134129.96822870025
35.2|0.0|0.0|0.0|-134045.21268466354|-134039.90284180772
35.4|0.0|0.0|0.0|-134226.45939096797|-134225.5386818742
35.6|0.0|0.0|0.0|-134134.47676876507|-134133.17768607114
35.8|0.0|0.0|0.0|-134342.30467570014|-134339.32813671208
36.0|0.0|0.0|0.0|-134355.62342642635|-134349.19107522335
36.2|0.0|0.0|0.0|-134407.94697636762|-134405.92898383335
36.4|0.0|0.0|0.0|-134196.31154385966|-134194.6971498322
36.6|0.0|0.0|0.0|-134211.85295848176|-134210.49081352112
36.8|0.0|0.0|0.0|-134354.65224479247|-134352.28110356472
37.0|0.0|0.0|0.0|-134368.22450517255|-134365.94165111816
37.2|0.0|0.0|0.0|-134232.40099516258|-134228.85689577428
37.4|0.0|0.0|0.0|-134141.42574959475|-134141.00953863456
37.6|0.0|0.0|0.0|-134378.8395900132|-134378.0702303595
37.8|0.0|0.0|0.0|-134515.1949141341|-134513.74448200007
38.0|0.0|0.0|0.0|-134189.4952671817|-134187.50249955407
38.2|0.0|0.0|0.0|-134197.28610295686|-134195.77260855614
38.4|0.0|0.0|0.0|-134364.1056051355|-134362.99570924166
38.6|0.0|0.0|0.0|-134122.23658744944|-134121.63118968913
38.8|0.0|0.0|0.0|-134135.4124766191|-134134.3530305386
39.0|0.0|0.0|0.0|-133912.64370639573|-133910.46175196805
39.2|0.0|0.0|0.0|-134182.08726824226|-134180.97737234842
39.4|0.0|0.0|0.0|-134267.24655318863|-134266.09881993476
39.6|0.0|0.0|0.0|-134030.3216172115|-134027.76128918366
39.8|0.0|0.0|0.0|-133932.49713504806|-133931.51336368764
40.0|0.0|0.0|0.0|-133953.9004683647|-133952.10949999053
40.2|0.0|0.0|0.0|-134135.48195908937|-134135.04052322247
40.4|0.0|0.0|0.0|-133654.8306695732|-133653.78383594603
40.6|0.0|0.0|0.0|-133956.70974024723|-133955.6376817134
40.8|0.0|0.0|0.0|-133926.1962163957|-133925.36379447536
41.0|0.0|0.0|0.0|-133911.39642396226|-133910.19824089503
41.2|0.0|0.0|0.0|-134110.32585248648|-134109.16550677927
41.4|0.0|0.0|0.0|-134297.09106153355|-134296.90187473348
41.6|0.0|0.0|0.0|-134092.60977017437|-134091.5250991872
41.8|0.0|0.0|0.0|-133979.38777654828|-133979.12291502813
42.0|0.0|0.0|0.0|-134180.52034446472|-134178.85550062393
42.2|0.0|0.0|0.0|-134062.86412564895|-134061.527205595
42.4|0.0|0.0|0.0|-134358.77382436246|-134352.55588486622
42.6|0.0|0.0|0.0|-134355.50719894757|-134353.70361812008
42.8|0.0|0.0|0.0|-133770.95682426388|-133769.9982778101
43.0|0.0|0.0|0.0|-133960.89023225248|-133960.17132241215
43.2|0.0|0.0|0.0|-134402.3795968555|-134402.10212288203
43.4|0.0|0.0|0.0|-134188.54215327345|-134187.7854060731
43.6|0.0|0.0|0.0|-134222.09425149107|-134220.6312069037
43.8|0.0|0.0|0.0|-134179.6444590237|-134178.00484008962
44.0|0.0|0.0|0.0|-134228.5274357504|-134227.54366438993
44.2|0.0|0.0|0.0|-134165.90481408886|-134165.576890302
44.4|0.0|0.0|0.0|-134231.37694439662|-134230.9733458898
44.6|0.0|0.0|0.0|-134304.3171293987|-134303.7369565451
44.8|0.0|0.0|0.0|-134205.46072012596|-134203.59407703174
45.0|0.0|0.0|0.0|-134086.71447193727|-134084.19198126945
45.2|0.0|0.0|0.0|-134069.75246564482|-134067.62096103048
45.4|0.0|0.0|0.0|-134041.2104837382|-134038.94024213712
45.6|0.0|0.0|0.0|-134403.389693827|-134400.1104559588
45.8|0.0|0.0|0.0|-134249.7023228422|-134249.28611188201
46.0|0.0|0.0|0.0|-134265.99631408037|-134265.06299253326
46.2|0.0|0.0|0.0|-134010.91734293304|-134006.26334765085
46.4|0.0|0.0|0.0|-134134.83526443137|-134134.078517231
46.6|0.0|0.0|0.0|-134310.13675992025|-134309.98541048018
46.8|0.0|0.0|0.0|-134297.49908167438|-134296.21261143376
47.0|0.0|0.0|0.0|-134403.8725131373|-134403.15360329693
47.2|0.0|0.0|0.0|-134237.90796831122|-134235.20890329665
47.4|0.0|0.0|0.0|-134450.5548233825|-134449.12961615517
47.6|0.0|0.0|0.0|-134319.11342558227|-134318.10442931514
47.8|0.0|0.0|0.0|-134492.20815075762|-134491.590140544
48.0|0.0|0.0|0.0|-134496.40809771957|-134495.20991465234
48.2|0.0|0.0|0.0|-134419.9689979073|-134417.4717321461
48.4|0.0|0.0|0.0|-134191.9080273634|-134190.73506920284
48.6|0.0|0.0|0.0|-134035.29470242703|-134033.88210765301
48.8|0.0|0.0|0.0|-134191.28678649946|-134189.8237419121
49.0|0.0|0.0|0.0|-134119.71479222557|-134118.78147067848
